movie_title,movie_ratings,release_year,movie_duration
 The Shawshank Redemption,9.3 ,1994,2h 22m
 The Godfather,9.2 ,1972,2h 55m
 The Dark Knight,9.0 ,2008,2h 32m
 The Godfather Part II,9.0 ,1974,3h 22m
 12 Angry Men,9.0 ,1957,1h 36m
 Schindler's List,9.0 ,1993,3h 15m
 The Lord of the Rings: The Return of the King,9.0 ,2003,3h 21m
 Pulp Fiction,8.9 ,1994,2h 34m
 The Lord of the Rings: The Fellowship of the Ring,8.9 ,2001,2h 58m
" Il buono, il brutto, il cattivo",8.8 ,1966,2h 41m
 Dune: Part Two,8.9 ,2024,2h 46m
 Forrest Gump,8.8 ,1994,2h 22m
 The Lord of the Rings: The Two Towers,8.8 ,2002,2h 59m
 Fight Club,8.8 ,1999,2h 19m
 Inception,8.8 ,2010,2h 28m
 Star Wars: Episode V - The Empire Strikes Back,8.7 ,1980,2h 4m
 The Matrix,8.7 ,1999,2h 16m
 Goodfellas,8.7 ,1990,2h 25m
 One Flew Over the Cuckoo's Nest,8.7 ,1975,2h 13m
 Se7en,8.6 ,1995,2h 7m
 It's a Wonderful Life,8.6 ,1946,2h 10m
 Interstellar,8.7 ,2014,2h 49m
 Shichinin no samurai,8.6 ,1954,3h 27m
 The Silence of the Lambs,8.6 ,1991,1h 58m
 Saving Private Ryan,8.6 ,1998,2h 49m
 Cidade de Deus,8.6 ,2002,2h 10m
 La vita è bella,8.6 ,1997,1h 56m
 The Green Mile,8.6 ,1999,3h 9m
 Terminator 2: Judgment Day,8.6 ,1991,2h 17m
 Star Wars,8.6 ,1977,2h 1m
 Back to the Future,8.5 ,1985,1h 56m
 Sen to Chihiro no kamikakushi,8.6 ,2001,2h 5m
 The Pianist,8.5 ,2002,2h 30m
 Spider-Man: Across the Spider-Verse,8.6 ,2023,2h 20m
 Gisaengchung,8.5 ,2019,2h 12m
 Psycho,8.5 ,1960,1h 49m
 Gladiator,8.5 ,2000,2h 35m
 The Lion King,8.5 ,1994,1h 28m
 Léon,8.5 ,1994,1h 50m
 The Departed,8.5 ,2006,2h 31m
 American History X,8.5 ,1998,1h 59m
 Whiplash,8.5 ,2014,1h 46m
 The Prestige,8.5 ,2006,2h 10m
 Hotaru no haka,8.5 ,1988,1h 29m
 Seppuku,8.6 ,1962,2h 13m
 The Usual Suspects,8.5 ,1995,1h 46m
 Casablanca,8.5 ,1942,1h 42m
 Intouchables,8.5 ,2011,1h 52m
 Nuovo Cinema Paradiso,8.5 ,1988,2h 54m
 Modern Times,8.5 ,1936,1h 27m
 Rear Window,8.5 ,1954,1h 52m
 C'era una volta il West,8.5 ,1968,2h 46m
 Alien,8.5 ,1979,1h 57m
 12th Fail,9.1 ,2023,2h 27m
 City Lights,8.5 ,1931,1h 27m
 Apocalypse Now,8.4 ,1979,2h 27m
 Django Unchained,8.5 ,2012,2h 45m
 Memento,8.4 ,2000,1h 53m
 WALL·E,8.4 ,2008,1h 38m
 Raiders of the Lost Ark,8.4 ,1981,1h 55m
 Das Leben der Anderen,8.4 ,2006,2h 17m
 Sunset Blvd,8.4 ,1950,1h 50m
 Paths of Glory,8.4 ,1957,1h 28m
 Avengers: Infinity War,8.4 ,2018,2h 29m
 Spider-Man: Into the Spider-Verse,8.4 ,2018,1h 57m
 The Shining,8.4 ,1980,2h 26m
 Witness for the Prosecution,8.4 ,1957,1h 56m
 The Great Dictator,8.4 ,1940,2h 5m
 Alien 2,8.4 ,1986,2h 17m
 Inglourious Basterds,8.4 ,2009,2h 33m
 The Dark Knight Rises,8.4 ,2012,2h 44m
 Dr,8.4 ,1964,1h 35m
 American Beauty,8.3 ,1999,2h 2m
 Oldeuboi,8.3 ,2003,2h
 Coco,8.4 ,2017,1h 45m
 Amadeus,8.4 ,1984,2h 40m
 Toy Story,8.3 ,1995,1h 21m
 Das Boot,8.4 ,1981,2h 29m
 Braveheart,8.3 ,1995,2h 58m
 Avengers: Endgame,8.4 ,2019,3h 1m
 Joker,8.4 ,2019,2h 2m
 Mononoke-hime,8.3 ,1997,2h 14m
 Good Will Hunting,8.3 ,1997,2h 6m
 Kimi no na wa,8.4 ,2016,1h 46m
 Once Upon a Time in America,8.3 ,1984,3h 49m
